,date,raceId,circuitId,year,driverId,grid,position,time,last_circuit_position,last_circuit_position2,last_circuit_position3
0,2006-01-12 00:03:00,53,3,2006,4.0,4.0,1,1:29:46.205,5,10,8
1,2006-01-12 00:03:00,53,3,2006,8.0,22.0,3,+19.360,3,2,6
2,2006-01-12 00:03:00,53,3,2006,3.0,12.0,7,+1:03.043,10,8,9
3,2006-01-12 00:03:00,53,3,2006,13.0,2.0,9,+1:09.907,1,1,14
4,2006-01-12 00:03:00,53,3,2006,2.0,10.0,12,\N,4,4,19
5,2006-01-12 00:03:00,53,3,2006,22.0,6.0,15,\N,13,11,5
6,2006-01-12 00:03:00,53,3,2006,15.0,14.0,16,\N,7,6,3
7,2006-01-12 00:03:00,53,3,2006,21.0,9.0,\N,\N,8,12,15
8,2006-01-19 00:03:00,54,2,2006,21.0,1.0,1,1:30:40.529,6,12,18
9,2006-01-19 00:03:00,54,2,2006,4.0,7.0,2,+4.585,1,8,11
10,2006-01-19 00:03:00,54,2,2006,18.0,2.0,3,+9.631,12,10,1
11,2006-01-19 00:03:00,54,2,2006,15.0,9.0,9,\N,7,4,4
12,2006-01-19 00:03:00,54,2,2006,22.0,20.0,10,\N,11,13,5
13,2006-01-19 00:03:00,54,2,2006,2.0,11.0,\N,\N,4,6,2
14,2006-01-19 00:03:00,54,2,2006,17.0,4.0,\N,\N,10,7,6
15,2006-01-19 00:03:00,54,2,2006,8.0,6.0,\N,\N,3,1,14
16,2006-01-02 00:04:00,55,1,2006,4.0,3.0,1,1:34:27.870,2,4,5
17,2006-01-02 00:04:00,55,1,2006,8.0,4.0,2,+1.8,1,8,15
18,2006-01-02 00:04:00,55,1,2006,2.0,8.0,4,+31.0,4,2,10
19,2006-01-02 00:04:00,55,1,2006,3.0,14.0,\N,\N,7,3,6
20,2006-01-14 00:05:00,58,4,2006,21.0,2.0,3,+23.951,9,10,14
21,2006-01-14 00:05:00,58,4,2006,13.0,4.0,4,+29.853,1,2,6
22,2006-01-14 00:05:00,58,4,2006,18.0,8.0,6,+58.347,12,6,1
23,2006-01-28 00:05:00,59,6,2006,4.0,1.0,1,1:43:43.116,1,10,7
24,2006-01-28 00:05:00,59,6,2006,22.0,5.0,4,+53.337,10,6,2
25,2006-01-28 00:05:00,59,6,2006,2.0,15.0,7,\N,6,14,11
26,2006-01-28 00:05:00,59,6,2006,13.0,21.0,9,\N,3,3,4
27,2006-01-28 00:05:00,59,6,2006,18.0,13.0,11,\N,11,11,1
28,2006-01-28 00:05:00,59,6,2006,15.0,6.0,17,\N,15,13,13
29,2006-01-28 00:05:00,59,6,2006,8.0,3.0,\N,\N,8,9,3
30,2006-01-11 00:06:00,60,9,2006,4.0,1.0,1,1:25:51.927,2,6,14
