,date,circuitId,driverId,grid,finish_pos,time,age,nationality,ls_driver_points,empty,ls_constructor_points
0,2009-03-29,1,18.0,1.0,1,1:34:15.784,42.0,British,3,,14.0
1,2009-04-05,2,18.0,1.0,1,1:10:52.092,42.0,British,3,,14.0
2,2009-04-19,17,18.0,5.0,3,+44.975,42.0,British,3,,14.0
3,2009-04-26,3,18.0,4.0,1,1:31:48.182,42.0,British,3,,14.0
4,2009-05-10,4,18.0,1.0,1,1:37:19.202,42.0,British,3,,14.0
5,2009-05-24,6,18.0,1.0,1,1:40:44.282,42.0,British,3,,14.0
6,2009-06-07,5,18.0,2.0,1,1:26:24.848,42.0,British,3,,14.0
7,2009-06-21,9,18.0,6.0,6,+46.285,42.0,British,3,,14.0
8,2009-07-12,20,18.0,3.0,5,+23.609,42.0,British,3,,14.0
9,2009-07-26,11,18.0,8.0,7,+55.088,42.0,British,3,,14.0
10,2009-08-23,12,18.0,5.0,7,+34.913,42.0,British,3,,14.0
11,2009-08-30,13,18.0,14.0,\N,\N,42.0,British,3,,14.0
12,2009-09-13,14,18.0,6.0,2,+2.866,42.0,British,3,,14.0
13,2009-09-27,15,18.0,11.0,5,+30.015,42.0,British,3,,14.0
14,2009-10-04,22,18.0,10.0,8,+11.474,42.0,British,3,,14.0
15,2009-10-18,18,18.0,14.0,5,+29.005,42.0,British,3,,14.0
16,2009-11-01,24,18.0,5.0,3,+18.467,42.0,British,3,,14.0
17,2008-03-16,1,18.0,12.0,\N,\N,42.0,British,6,,6.0
18,2008-03-23,2,18.0,11.0,10,+1:26.214,42.0,British,6,,6.0
19,2008-04-06,3,18.0,9.0,\N,\N,42.0,British,6,,6.0
20,2008-04-27,4,18.0,13.0,6,+53.010,42.0,British,6,,6.0
21,2008-05-11,5,18.0,13.0,11,\N,42.0,British,6,,6.0
22,2008-05-25,6,18.0,11.0,11,\N,42.0,British,6,,6.0
23,2008-06-08,7,18.0,20.0,11,+1:07.540,42.0,British,6,,6.0
24,2008-06-22,8,18.0,16.0,\N,\N,42.0,British,6,,6.0
25,2008-07-06,9,18.0,17.0,\N,\N,42.0,British,6,,6.0
26,2008-07-20,10,18.0,14.0,17,\N,42.0,British,6,,6.0
27,2008-08-03,11,18.0,12.0,12,\N,42.0,British,6,,6.0
28,2008-08-24,12,18.0,16.0,13,\N,42.0,British,6,,6.0
29,2008-09-07,13,18.0,17.0,15,\N,42.0,British,6,,6.0
30,2008-09-14,14,18.0,19.0,15,+1:13.370,42.0,British,6,,6.0
31,2008-09-28,15,18.0,12.0,9,+19.885,42.0,British,6,,6.0
32,2008-10-12,16,18.0,18.0,14,\N,42.0,British,6,,6.0
33,2008-10-19,17,18.0,18.0,16,\N,42.0,British,6,,6.0
34,2008-11-02,18,18.0,17.0,13,\N,42.0,British,6,,6.0
35,2007-03-18,1,18.0,14.0,15,\N,42.0,British,56,,86.0
36,2007-04-08,2,18.0,15.0,12,\N,42.0,British,56,,86.0
37,2007-04-15,3,18.0,16.0,\N,\N,42.0,British,56,,86.0
38,2007-05-13,4,18.0,14.0,12,\N,42.0,British,56,,86.0
39,2007-05-27,6,18.0,10.0,11,\N,42.0,British,56,,86.0
40,2007-06-10,7,18.0,15.0,\N,\N,42.0,British,56,,86.0
41,2007-06-17,19,18.0,13.0,12,\N,42.0,British,56,,86.0
42,2007-07-01,8,18.0,12.0,8,+58.885,42.0,British,56,,86.0
43,2007-07-08,9,18.0,18.0,10,\N,42.0,British,56,,86.0
44,2007-07-22,20,18.0,17.0,\N,\N,42.0,British,56,,86.0
45,2007-08-05,11,18.0,17.0,\N,\N,42.0,British,56,,86.0
46,2007-08-26,5,18.0,21.0,13,\N,42.0,British,56,,86.0
47,2007-09-09,14,18.0,10.0,8,+1:02.168,42.0,British,56,,86.0
48,2007-09-16,13,18.0,12.0,\N,\N,42.0,British,56,,86.0
49,2007-09-30,16,18.0,6.0,11,\N,42.0,British,56,,86.0
50,2007-10-07,17,18.0,10.0,5,+1:08.666,42.0,British,56,,86.0
51,2007-10-21,18,18.0,16.0,\N,\N,42.0,British,56,,86.0
52,2006-03-12,3,18.0,3.0,4,+19.992,42.0,British,37,,38.0
53,2006-03-19,2,18.0,2.0,3,+9.631,42.0,British,37,,38.0
54,2006-04-02,1,18.0,1.0,10,\N,42.0,British,37,,38.0
55,2006-04-23,21,18.0,2.0,7,+39.635,42.0,British,37,,38.0
56,2006-05-07,20,18.0,6.0,\N,\N,42.0,British,37,,38.0
57,2006-05-14,4,18.0,8.0,6,+58.347,42.0,British,37,,38.0
58,2006-05-28,6,18.0,13.0,11,\N,42.0,British,37,,38.0
59,2006-06-11,9,18.0,19.0,\N,\N,42.0,British,37,,38.0
60,2006-06-25,7,18.0,8.0,9,\N,42.0,British,37,,38.0
61,2006-07-02,19,18.0,7.0,\N,\N,42.0,British,37,,38.0
62,2006-07-16,8,18.0,17.0,\N,\N,42.0,British,37,,38.0
63,2006-07-30,10,18.0,4.0,4,+18.8,42.0,British,37,,38.0
64,2006-08-06,11,18.0,14.0,1,1:52:20.941,42.0,British,37,,38.0
65,2006-08-27,5,18.0,6.0,4,+12.334,42.0,British,37,,38.0
66,2006-09-10,14,18.0,5.0,5,+32.685,42.0,British,37,,38.0
67,2006-10-01,17,18.0,4.0,4,+72.056,42.0,British,37,,38.0
68,2006-10-08,22,18.0,7.0,4,+34.101,42.0,British,37,,38.0
69,2006-10-22,18,18.0,14.0,3,+19.394,42.0,British,37,,38.0
70,2005-03-06,1,18.0,8.0,\N,\N,42.0,British,85,,119.0
71,2005-03-20,2,18.0,9.0,\N,\N,42.0,British,85,,119.0
72,2005-04-03,3,18.0,11.0,\N,\N,42.0,British,85,,119.0
73,2005-04-24,21,18.0,3.0,\N,+10.4,42.0,British,85,,119.0
74,2005-05-29,20,18.0,13.0,10,+1:35.786,42.0,British,85,,119.0
75,2005-06-12,7,18.0,1.0,\N,\N,42.0,British,85,,119.0
76,2005-06-19,19,18.0,3.0,\N,\N,42.0,British,85,,119.0
77,2005-07-03,8,18.0,7.0,4,\N,42.0,British,85,,119.0
78,2005-07-10,9,18.0,2.0,5,+40.3,42.0,British,85,,119.0
79,2005-07-24,10,18.0,2.0,3,+24.422,42.0,British,85,,119.0
80,2005-07-31,11,18.0,8.0,5,+58.832,42.0,British,85,,119.0
