raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,ls_driver_points,ls_constructor_points,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
313,1991.0,9.0,10.0,German Grand Prix,1991-07-28,\N,http://en.wikipedia.org/wiki/1991_German_Grand_Prix,102.0,2.0,3,1991-07-28,78.0,121.0,1.0,4.0,3.0,1.0,1.0,1.0
314,1991.0,10.0,11.0,Hungarian Grand Prix,1991-08-11,\N,http://en.wikipedia.org/wiki/1991_Hungarian_Grand_Prix,102.0,1.0,1,1991-08-11,78.0,121.0,2.0,7.0,4.0,3.0,1.0,1.0
315,1991.0,11.0,13.0,Belgian Grand Prix,1991-08-25,\N,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix,77.0,4.0,2,1991-08-25,43.0,121.0,3.0,4.0,4.0,2.0,2.0,3.0
315,1991.0,11.0,13.0,Belgian Grand Prix,1991-08-25,\N,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix,102.0,1.0,1,1991-08-25,78.0,121.0,1.0,1.0,7.0,4.0,3.0,1.0
316,1991.0,12.0,14.0,Italian Grand Prix,1991-09-08,\N,http://en.wikipedia.org/wiki/1991_Italian_Grand_Prix,102.0,1.0,2,1991-09-08,78.0,121.0,1.0,1.0,1.0,7.0,4.0,3.0
316,1991.0,12.0,14.0,Italian Grand Prix,1991-09-08,\N,http://en.wikipedia.org/wiki/1991_Italian_Grand_Prix,77.0,3.0,3,1991-09-08,43.0,121.0,3.0,2.0,4.0,4.0,2.0,2.0
316,1991.0,12.0,14.0,Italian Grand Prix,1991-09-08,\N,http://en.wikipedia.org/wiki/1991_Italian_Grand_Prix,137.0,8.0,3,1991-09-08,43.0,71.0,7.0,3.0,5.0,1.0,5.0,3.0
317,1991.0,13.0,27.0,Portuguese Grand Prix,1991-09-22,\N,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix,102.0,3.0,2,1991-09-22,78.0,121.0,2.0,2.0,1.0,1.0,7.0,4.0
317,1991.0,13.0,27.0,Portuguese Grand Prix,1991-09-22,\N,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix,137.0,11.0,3,1991-09-22,43.0,71.0,5.0,6.0,3.0,5.0,1.0,5.0
319,1991.0,15.0,22.0,Japanese Grand Prix,1991-10-20,\N,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix,119.0,5.0,2,1991-10-20,23.0,57.0,4.0,1.0,3.0,2.0,1.0,2.0
319,1991.0,15.0,22.0,Japanese Grand Prix,1991-10-20,\N,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix,137.0,10.0,3,1991-10-20,43.0,71.0,1.0,5.0,6.0,3.0,5.0,1.0
