grid,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5,ls_constructor_points,ls_driver_points,position
2.0,1.0,4.0,3.0,1.0,1.0,1.0,121.0,78.0,3
1.0,2.0,7.0,4.0,3.0,1.0,1.0,121.0,78.0,1
4.0,3.0,4.0,4.0,2.0,2.0,3.0,121.0,43.0,2
1.0,1.0,1.0,7.0,4.0,3.0,1.0,121.0,78.0,1
1.0,1.0,1.0,1.0,7.0,4.0,3.0,121.0,78.0,2
3.0,3.0,2.0,4.0,4.0,2.0,2.0,121.0,43.0,3
8.0,7.0,3.0,5.0,1.0,5.0,3.0,71.0,43.0,3
3.0,2.0,2.0,1.0,1.0,7.0,4.0,121.0,78.0,2
11.0,5.0,6.0,3.0,5.0,1.0,5.0,71.0,43.0,3
5.0,4.0,1.0,3.0,2.0,1.0,2.0,57.0,23.0,2
10.0,1.0,5.0,6.0,3.0,5.0,1.0,71.0,43.0,3
17.0,5.0,17.0,9.0,8.0,7.0,10.0,57.0,34.0,3
2.0,4.0,4.0,2.0,4.0,4.0,2.0,121.0,43.0,2
5.0,1.0,7.0,5.0,6.0,3.0,5.0,71.0,43.0,3
4.0,6.0,3.0,1.0,3.0,2.0,1.0,57.0,23.0,3
2.0,1.0,5.0,3.0,1.0,3.0,2.0,125.0,53.0,2
5.0,3.0,3.0,4.0,2.0,4.0,4.0,139.0,43.0,3
1.0,2.0,2.0,1.0,2.0,2.0,6.0,125.0,72.0,1
22.0,8.0,9.0,17.0,9.0,8.0,7.0,0.0,0.0,3
2.0,2.0,2.0,5.0,3.0,1.0,3.0,125.0,53.0,2
6.0,6.0,3.0,3.0,3.0,6.0,12.0,55.0,21.0,3
1.0,4.0,1.0,2.0,1.0,2.0,2.0,125.0,72.0,1
1.0,1.0,1.0,1.0,2.0,1.0,2.0,125.0,72.0,1
8.0,4.0,4.0,3.0,3.0,3.0,6.0,55.0,21.0,2
3.0,5.0,2.0,2.0,1.0,1.0,7.0,139.0,96.0,3
3.0,1.0,9.0,2.0,2.0,1.0,1.0,139.0,96.0,2
2.0,1.0,2.0,2.0,5.0,3.0,1.0,125.0,53.0,2
3.0,1.0,3.0,9.0,2.0,2.0,1.0,139.0,96.0,1
1.0,2.0,1.0,1.0,1.0,2.0,1.0,125.0,72.0,2
22.0,7.0,10.0,9.0,17.0,9.0,8.0,0.0,0.0,4
4.0,4.0,4.0,3.0,4.0,2.0,4.0,139.0,43.0,1
15.0,7.0,6.0,6.0,4.0,12.0,9.0,6.0,6.0,3
1.0,1.0,2.0,1.0,1.0,1.0,2.0,125.0,72.0,1
2.0,5.0,2.0,2.0,2.0,5.0,3.0,125.0,53.0,2
25.0,9.0,8.0,6.0,6.0,4.0,12.0,6.0,6.0,3
22.0,9.0,10.0,8.0,6.0,6.0,4.0,6.0,6.0,4
1.0,1.0,1.0,2.0,1.0,1.0,1.0,125.0,72.0,1
5.0,2.0,1.0,4.0,3.0,4.0,2.0,139.0,43.0,3
13.0,2.0,12.0,10.0,9.0,17.0,9.0,0.0,0.0,3
2.0,2.0,2.0,2.0,2.0,2.0,5.0,125.0,53.0,3
8.0,9.0,10.0,12.0,10.0,9.0,17.0,0.0,0.0,3
5.0,3.0,3.0,4.0,3.0,3.0,3.0,55.0,21.0,3
3.0,7.0,1.0,3.0,9.0,2.0,2.0,139.0,96.0,2
1.0,1.0,1.0,1.0,2.0,1.0,1.0,125.0,72.0,1
5.0,4.0,5.0,1.0,4.0,3.0,4.0,139.0,43.0,2
2.0,2.0,1.0,1.0,1.0,2.0,1.0,125.0,72.0,2
3.0,1.0,2.0,1.0,3.0,9.0,2.0,139.0,96.0,1
17.0,17.0,10.0,7.0,11.0,2.0,4.0,12.0,10.0,4
4.0,5.0,8.0,2.0,2.0,2.0,2.0,125.0,53.0,2
2.0,1.0,1.0,2.0,1.0,3.0,9.0,139.0,96.0,3
13.0,13.0,8.0,5.0,5.0,7.0,4.0,13.0,9.0,3
2.0,2.0,5.0,1.0,2.0,1.0,3.0,139.0,96.0,1
5.0,4.0,3.0,5.0,1.0,4.0,3.0,139.0,43.0,3
4.0,5.0,3.0,8.0,2.0,2.0,2.0,125.0,53.0,3
21.0,7.0,8.0,8.0,5.0,5.0,7.0,13.0,9.0,3
1.0,1.0,2.0,1.0,1.0,1.0,2.0,125.0,72.0,1
4.0,4.0,4.0,3.0,5.0,1.0,4.0,139.0,43.0,2
3.0,2.0,1.0,5.0,1.0,2.0,1.0,139.0,96.0,2
11.0,16.0,7.0,10.0,12.0,10.0,9.0,0.0,0.0,3
12.0,8.0,6.0,8.0,8.0,5.0,5.0,13.0,9.0,3
4.0,1.0,2.0,4.0,3.0,5.0,1.0,139.0,43.0,2
13.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2
2.0,3.0,5.0,3.0,8.0,2.0,2.0,125.0,53.0,1
17.0,6.0,15.0,10.0,7.0,11.0,2.0,12.0,10.0,3
19.0,8.0,15.0,10.0,8.0,6.0,6.0,6.0,6.0,3
4.0,3.0,2.0,2.0,4.0,3.0,5.0,139.0,43.0,1
6.0,8.0,5.0,3.0,4.0,3.0,3.0,55.0,21.0,3
22.0,5.0,8.0,7.0,10.0,12.0,10.0,0.0,0.0,3
10.0,19.0,5.0,4.0,6.0,10.0,6.0,3.0,2.0,3
15.0,10.0,7.0,15.0,10.0,7.0,11.0,12.0,10.0,3
2.0,3.0,3.0,1.0,5.0,1.0,2.0,99.0,50.0,2
15.0,5.0,1.0,2.0,2.0,4.0,3.0,99.0,49.0,3
25.0,6.0,6.0,7.0,7.0,13.0,15.0,6.0,6.0,4
3.0,1.0,2.0,3.0,1.0,5.0,1.0,99.0,50.0,1
9.0,4.0,4.0,5.0,3.0,4.0,3.0,21.0,18.0,3
10.0,4.0,3.0,4.0,2.0,4.0,4.0,91.0,38.0,2
3.0,9.0,1.0,2.0,3.0,1.0,5.0,99.0,50.0,2
5.0,3.0,1.0,5.0,3.0,8.0,2.0,164.0,56.0,3
11.0,4.0,6.0,1.0,2.0,2.0,4.0,99.0,49.0,3
7.0,3.0,6.0,6.0,1.0,2.0,2.0,99.0,49.0,4
3.0,1.0,2.0,1.0,2.0,3.0,1.0,99.0,50.0,1
5.0,3.0,8.0,4.0,5.0,3.0,4.0,21.0,18.0,2
1.0,5.0,1.0,1.0,3.0,3.0,4.0,10.0,5.0,3
13.0,5.0,3.0,3.0,4.0,2.0,4.0,91.0,38.0,3
8.0,1.0,1.0,2.0,1.0,2.0,3.0,99.0,50.0,4
16.0,12.0,10.0,9.0,8.0,10.0,12.0,6.0,0.0,4
