raceId,year,round,circuitId,name,date,time,url,driverId,grid,position,datetime,last_circuit_position,last_position,last_position2,last_position3,last_position4,last_position5
821,1952,5,9,British Grand Prix,1952-07-19,\N,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,642.0,1.0,6.0,1952-07-19,1.0,2.0,3.0,5.0,1.0,3.0
822,1952,6,20,German Grand Prix,1952-08-03,\N,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,660.0,32.0,10.0,1952-08-03,11.0,14.0,8.0,13.0,7.0,13.0
824,1952,8,14,Italian Grand Prix,1952-09-07,\N,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,642.0,3.0,4.0,1952-09-07,3.0,6.0,2.0,3.0,5.0,1.0
810,1953,3,39,Dutch Grand Prix,1953-06-07,\N,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,642.0,3.0,2.0,1953-06-07,2.0,4.0,6.0,2.0,3.0,5.0
810,1953,3,39,Dutch Grand Prix,1953-06-07,\N,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,647.0,1.0,1.0,1953-06-07,1.0,1.0,1.0,1.0,1.0,2.0
811,1953,4,13,Belgian Grand Prix,1953-06-21,\N,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,642.0,4.0,-1.0,1953-06-21,2.0,2.0,4.0,6.0,2.0,3.0
811,1953,4,13,Belgian Grand Prix,1953-06-21,\N,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,660.0,10.0,-1.0,1953-06-21,8.0,10.0,14.0,8.0,13.0,7.0
811,1953,4,13,Belgian Grand Prix,1953-06-21,\N,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,627.0,13.0,8.0,1953-06-21,4.0,10.0,7.0,10.0,4.0,9.0
811,1953,4,13,Belgian Grand Prix,1953-06-21,\N,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,647.0,2.0,1.0,1953-06-21,1.0,1.0,1.0,1.0,1.0,1.0
812,1953,5,55,French Grand Prix,1953-07-05,\N,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,647.0,1.0,4.0,1953-07-05,2.0,1.0,1.0,1.0,1.0,1.0
812,1953,5,55,French Grand Prix,1953-07-05,\N,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,642.0,6.0,5.0,1953-07-05,5.0,2.0,4.0,6.0,2.0,3.0
812,1953,5,55,French Grand Prix,1953-07-05,\N,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,627.0,10.0,8.0,1953-07-05,6.0,8.0,10.0,7.0,10.0,4.0
813,1953,6,9,British Grand Prix,1953-07-18,\N,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,647.0,1.0,1.0,1953-07-18,1.0,4.0,1.0,1.0,1.0,1.0
813,1953,6,9,British Grand Prix,1953-07-18,\N,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,642.0,5.0,3.0,1953-07-18,6.0,5.0,2.0,4.0,6.0,2.0
813,1953,6,9,British Grand Prix,1953-07-18,\N,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,627.0,24.0,10.0,1953-07-18,10.0,8.0,8.0,10.0,7.0,10.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,660.0,25.0,-1.0,1953-08-02,10.0,10.0,14.0,8.0,13.0,7.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,6.0,-1.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,1.0,8.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
814,1953,7,20,German Grand Prix,1953-08-02,\N,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,647.0,1.0,8.0,1953-08-02,1.0,1.0,4.0,1.0,1.0,1.0
